Nummer;Name;Beschreibung;Preis;Kategorie
512;Rosé;"QbA, trocken<br>
Weingut Max Müller I · Franken<br>
Eine harmonische Cuvée aus dem Frankenland: Der Portugieser verleiht dem Wein ein blumig-zartes Bukett, der Dornfelder sorgt für saftig-intensive Frucht. Ein frisches, feinwürziges Trinkvergnügen.<br>
(0,75 l)";32,50;Rose
513;Nero d‘Avola;"DOC Sicilia<br>
Cataldo · Sizilien<br>
Warum der „Dunkle aus Avola“ Siziliens beliebteste Rotweintraube ist, beweist das Exemplar von Cataldo: Freigiebiges Bukett mit Aromen von Sauerkirschen und Pflaumen, am Gaumen mit hauchzarter Würze und gutem Trinkfluss.<br>
(0,2 l)";6,90;Rotwein
514;Syrah & Cabernet Sauvignon;"IGT Sicilia<br>
Cataldo · Sizilien<br>
Dunkle Rubintönung, im Duft vollreife rote und dunkle Früchte, ausgwogener Geschmack, harmonisch und konzentriert<br>
(0,2 l / 0,75 l)";8,50€ / 29,50;Rotwein
515;Chianti Del Barone Ricasoli;"DOCG<br>
Barone Ricasoli · Toskana<br>
Traditioneller Chianti mit zartfruchtigem, leicht floralem Bukett; am Gaumen saftige Aromen von Wildkirsche mit Anklängen von Schokolade; harmonisches, würziges Finale.<br>
(0,2 l / 0,75 l)";8,50€ / 31,50;Rotwein
516;Primitivo Igt Salento;"Azienda Agricola Conti Zecca · Apulien<br>
Primitivo heisst die schon in der Antike bekannteferenztraube Apuliens; offensives Bukett mit Noten von Kirsche, Pflaume und Cassis; klar strukturiert mit fein eingebundenen Tanninen<br>
(0,2 l / 0,75 l)";8,90€ / 32,50;Rotwein
517;Spätburgunder;"QbA feinherb<br>
Weingut Ernst Bretz · Rheinhessen<br>
Verhaltene Nase mit Aromen von Kirsche und Pflaume; ausgewogenes Miteinander von Filigranität und Körper; perfekt abgestimmte Restsüße.<br>
(0,2 l / 0,75 l)";8,90€ / 30,90;Rotwein
518;"""Indio"" Montepulciano d´Abruzza";"DOC<br>
Azienda Vinicola Bove · Abruzzen<br>
Im Barrique gereifter, ebenso kraftvoller wie weicher Montepulciano der Extraklasse. Eine echte Alternative zu den großen Chianti und Co. aus der Toskana<br>
(0,2 l / 0,75 l)";9,90€ / 34,90;Rotwein
519;Rosso Piceno Superiore;"DOC<br>
Tenuta de Angelis, Marken<br>
Auf einem weichen Tanninbett haben es sich wunderbar intensive Aromen von Schwarzkirschen und Waldfrüchten bequem gemacht. Perfekte Ausgewogenheit. Langes Finale mit Anklängen von Gewürzen und Röstar.<br>
(0,75 l)";31,50;Rotwein
520;"Nero D‘avalo „disueri“ Sicilia ";"DOC<br>
Tenuta San Cusumano · Sizilien<br>
Der nach einem kleinen See nahe der Küstenstadt Gela benannte Wein ist ein sortenreiner Nero d’Avalo. Mit urtypischem Duft nach Kirschen, Himbeeren und Cassis sowie Nuancen von Veilchen und Kräutern. Mit gutem Zug zum Gaumen. Lebendig und frisch mit schöner Tanninstruktur.<br>
(0,75 l)";33,50;Rotwein
521;Barolo Docg „rocch Edell‘ Annunziata;"Az. Ag. Franco Molino · Piemont<br>
Der Spitzenbarolo aus dem Hause Franco Molino; intensive, blitzsaubere Aromatik; vollmundig am Gaumen, reifes Tannin.<br>
(0,75L)";65,00;Rotwein
522;Brunello Di Montalcino;"DOCG<br>
Corte Pavone · Toskana<br>
Brunello mit unübertreﬄicher Eleganz; freigiebiges, komplexes Bukett; am Gaumen körperreich mit dennoch feiner Textur und samtigen Tanninen.<br>
(0,75L)";87,00;Rotwein
523;Riesling Brut;"trocken<br>
Weingut Langenwalter · Pfalz<br>
Traditionelle Flaschengärung<br>
Über welche Grandezza und Expressivität der Riesling verfügt, wenn er nicht als stiller Zeitgenosse, sondern mit schäumendem Temperament daherkommt, zeigt dieser feinfruchtige und harmonische Sekt der Familie Langenwalter aus der nördlichen Pfalz.<br>
(0,1 l / 0,75 l)";5,90€ / 39,00;Sparkling
524;Spätburgunder Rosé Sekt;"brut<br>
Weingut Langenwalter · Pfalz<br>
Dass bei Schaumweinen der Ausdruck ""Brut"" tatsächlich von brutal kommt, ist angesichts dieses Rosé-Sekts schwer zu vermitteln. Hier ist nichts brutal. Stattdessen kommt der ausschließlich aus Spätburgunder-Trauben aus dem von Löss und Kalk dominierten Weisenheimer Altenberg überaus elegant, saftig, stoffig und süffig daher. Brutal lecker!<br>
(0,75l)";45,00;Sparkling
525;„Cuvée Katharina“ Brut Blanc de Noir;"brut nature<br>
Sekthaus Raumland · Rheinhessen<br>
Traditionelle Flaschengärung<br>
Die nach einer Tochter des Hauses benannte Cuvée ist eine weißgekelterte Vermählung der sich nahe stehenden Spätburgunder und Schwarzriesling. Herrliches Aromenspiel mit Biskuit-, Orangenund Walnussnoten. Am Gaumen kräftig strukturiert, mit dichtem, samtigen Körper und „burgundischem“ Finisch.<br>
(0,75 l)";49,50;Sparkling
526;Deutz Brut Classic;"Deutz · Champagne<br>
Klassischer geht´s nimmer: aus je einem Drittel Pinot Noir, Pinot Meunier und Chardonnay; bis zu 45% aus Reserveweinen älterer Jahrgänge; 36-monatiges Hefelager; ein vielseitiger Champagner mit eleganter Weinigkeit.<br>
(0,75 l)";75,00;Sparkling
